"week_end_date","region","copies_per_day_per_person","population_covered","n_sites"
"2023-05-28","Auckland","4446589","1369260","7"
"2023-05-28","Waikato","1301354","198600","3"
"2023-05-28","Hawke's Bay","905615","139610","3"
"2023-05-28","Wellington","3089067","465000","7"
"2023-05-28","Gisborne","3022024","37000","1"
"2023-05-28","Manawatu-Whanganui","2211780","155700","3"
"2023-05-28","Otago","2734200","189300","7"
"2023-05-21","Wellington","2956661","465000","7"
"2023-05-21","West Coast","315633","15000","2"
"2023-05-21","Otago","4891628","189300","7"
"2023-05-21","Southland","1532726","58000","2"
"2023-05-21","Nelson","5668997","26000","1"
"2023-05-21","Hawke's Bay","1264973","139610","3"
"2023-05-21","Taranaki","445439","102007","3"
"2023-05-21","Manawatu-Whanganui","3382939","155700","3"
"2023-05-21","Waikato","953287","243300","7"
"2023-05-21","Auckland","2706937","1369260","7"
"2023-05-21","Bay of Plenty","3208570","205820","6"
"2023-05-21","Canterbury","4636812","488100","7"
"2023-05-21","Gisborne","1598940","37000","1"
"2023-05-21","Northland","1354100","67400","3"
"2023-05-14","West Coast","529407","15000","2"
"2023-05-14","Wellington","1907092","465000","7"
"2023-05-14","Nelson","1462984","26000","1"
"2023-05-14","Northland","1423865","2400","2"
"2023-05-14","Manawatu-Whanganui","3648549","155700","3"
"2023-05-14","Gisborne","780289","37000","1"
"2023-05-14","Otago","3472090","174800","6"
"2023-05-14","Hawke's Bay","747270","139610","3"
"2023-05-14","Marlborough","5041847","36000","2"
"2023-05-14","Auckland","2429138","1365260","6"
"2023-05-14","Southland","6575148","58000","2"
"2023-05-14","Bay of Plenty","3254159","214920","8"
"2023-05-14","Taranaki","1513247","102007","3"
"2023-05-14","Canterbury","2470723","492000","8"
"2023-05-14","Waikato","2025718","243300","7"
"2023-05-07","Wellington","2772019","465000","7"
"2023-05-07","West Coast","1295360","15000","2"
"2023-05-07","Waikato","1079632","212100","3"
"2023-05-07","Taranaki","3241741","102007","3"
"2023-05-07","Tasman","218745","8300","1"
"2023-05-07","Marlborough","7644128","36000","2"
"2023-05-07","Nelson","1950656","86000","2"
"2023-05-07","Northland","707030","73630","5"
"2023-05-07","Manawatu-Whanganui","3945299","155700","3"
"2023-05-07","Canterbury","4799212","492000","8"
"2023-05-07","Gisborne","2163249","37000","1"
